證券代號,投標開始日,撥券日期(上市、上櫃日期),成交量,成交金額,開盤價,最高價,最低價,收盤價,價差,成交筆數,預估獲利率,最低得標加價率,加權平均加價率
6026,2016-01-07,2016-01-27,2729008,25884784,9.5,9.55,9.3,9.4,-0.1,351,0.274,0.287,0.287
6510,2016-03-04,2016-03-24,1471264,878440040,590.0,622.0,580.0,615.0,255.0,1212,1.05,0.467,0.503
2739,2016-04-28,2016-05-19,2705274,142464500,52.0,53.8,52.0,52.0,0.0,1846,0.34,0.34,0.383
6531,2016-05-11,2016-05-31,3796149,377727776,99.0,102.0,95.2,95.2,0.0,2117,0.341,0.296,0.326
6523,2016-05-26,2016-06-16,1511976,412510568,280.0,280.0,264.0,265.0,77.0,1261,0.762,0.71,0.799
6446,2016-06-29,2016-07-19,7072701,1411683700,200.0,203.0,195.0,199.5,40.5,4950,0.506,0.245,0.312
4552,2016-06-30,2016-07-20,5899032,701284468,117.0,126.5,115.0,122.0,0.0,2935,0.525,0.264,0.446
6499,2016-07-06,2016-07-27,2218292,377052680,169.0,174.5,165.0,165.0,33.0,1578,0.375,0.309,0.367
8415,2016-08-18,2016-09-07,4923000,88707400,18.0,18.3,18.0,18.1,3.1,1903,0.508,0.417,0.417
6542,2016-08-19,2016-09-08,1309147,135714500,108.0,108.5,90.0,99.8,-6.2,648,0.036,0.152,0.193
8473,2016-08-19,2016-09-08,5290907,318078020,60.3,61.2,58.5,60.0,0.0,3059,0.439,0.283,0.315
6548,2016-08-25,2016-09-13,925000,128389500,133.0,147.0,130.0,138.0,36.0,693,0.569,0.366,0.418
1598,2016-08-30,2016-09-20,2779154,134582111,48.9,49.5,47.05,47.15,0.0,1666,0.267,0.267,0.317
6535,2016-09-05,2016-09-26,6999098,427733172,57.5,64.3,56.3,63.7,9.7,4181,0.416,0.195,0.254
8279,2016-09-05,2016-09-26,3366467,290911204,73.0,139.0,73.0,121.0,62.2,2298,1.387,0.288,0.314
4438,2016-09-27,2016-10-18,3141762,575556065,183.0,188.0,179.0,181.0,0.0,2472,0.299,0.213,0.26
2633,2016-10-06,2016-10-27,79716801,1762148850,20.6,24.8,20.5,24.05,0.0,26176,1.066,0.479,0.53
8466,2016-10-12,2016-11-01,3684000,503334500,138.0,141.5,131.0,131.5,0.0,2159,0.906,0.52,0.578
4943,2016-10-24,2016-11-11,2650006,159360254,59.0,62.2,58.9,59.0,0.0,1731,0.204,0.206,0.237
6554,2016-11-22,2016-12-12,3286000,177907100,55.8,56.3,50.5,51.4,-4.4,1472,0.125,0.163,0.221
8488,2016-11-23,2016-12-13,2655000,123137700,48.0,48.0,44.2,45.5,0.0,1574,0.213,0.15,0.211
3346,2016-11-29,2016-12-19,5224952,261535100,46.0,54.6,46.0,51.1,0.0,2525,1.129,0.407,0.478
6569,2016-12-01,2016-12-21,1244464,298828936,250.0,258.0,223.0,224.0,39.0,1017,0.465,0.355,0.398
6568,2016-12-08,2016-12-28,2330974,351625481,144.0,159.0,143.0,153.5,17.5,1615,0.411,0.27,0.291
5258,2016-12-12,2016-12-30,3564520,154458517,44.8,45.0,41.15,41.95,0.0,2456,0.199,0.066,0.127
2939,2017-12-21,2018-01-11,1593000,340207000,213.5,219.5,206.0,210.0,0.0,1241,0.615,0.398,0.443
6616,2017-12-20,2018-01-10,2035000,49066250,23.0,28.2,22.2,26.85,8.85,1001,0.79,0.333,0.405
6596,2017-12-14,2018-01-04,997002,63985829,64.5,65.8,63.3,63.3,0.5,711,0.141,0.076,0.132
4764,2017-12-14,2018-01-04,2337500,158133800,68.0,69.4,66.5,67.0,0.0,1645,0.549,0.272,0.291
6613,2017-12-08,2017-12-28,2177460,391009527,177.0,187.0,173.0,180.5,45.5,1688,0.497,0.294,0.341
6570,2017-11-21,2017-12-11,863002,26849360,32.0,32.5,29.6,29.8,4.6,570,0.324,0.324,0.372
8478,2017-11-21,2017-12-11,3211210,234572087,75.0,77.8,70.5,71.7,0.0,1956,0.083,0.141,0.212
4155,2017-11-15,2017-12-05,4784000,159860600,34.5,35.4,30.7,34.9,0.0,2384,0.745,0.38,0.423
8499,2017-11-06,2017-11-24,4293000,572602500,122.0,160.0,122.0,158.0,0.0,2740,0.975,0.3,0.362
8342,2017-11-03,2017-11-23,1231100,69577400,58.0,61.0,53.2,54.0,13.0,858,0.475,0.229,0.261
6593,2017-10-16,2017-11-03,2161248,97221912,40.2,53.0,40.2,50.0,20.0,1147,0.85,0.25,0.322
6556,2017-10-11,2017-10-31,639002,27975441,44.8,46.9,40.3,45.5,15.8,542,0.685,0.321,0.395
2243,2017-09-07,2017-09-27,2070000,71920950,34.0,35.95,33.8,35.15,0.0,1126,0.172,0.107,0.174
1268,2017-09-07,2017-09-27,1341117,235269209,177.5,179.5,168.5,176.0,26.0,989,0.408,0.281,0.318
6441,2017-09-07,2017-09-27,1381300,86082750,63.0,63.6,61.5,61.5,11.5,880,0.464,0.361,0.425
6573,2017-09-06,2017-09-26,2989000,112312750,38.5,38.55,36.5,37.0,0.0,1590,0.233,0.123,0.195
4741,2017-09-06,2017-09-26,975600,65853900,67.0,69.5,65.4,67.6,12.4,675,0.408,0.279,0.363
6574,2017-08-15,2017-09-04,711000,98041500,133.0,144.0,133.0,141.0,13.0,564,0.289,0.128,0.188
4562,2017-08-01,2017-08-21,2530681,114437945,46.5,46.5,43.6,44.95,0.0,1612,0.236,0.078,0.209
6579,2017-08-01,2017-08-21,2567000,289993000,114.0,116.5,110.0,112.5,0.0,1757,0.508,0.341,0.433
4807,2017-06-06,2017-06-26,1370202,92117175,67.9,69.5,65.7,66.6,0.0,1021,0.11,0.147,0.196
6582,2017-05-24,2017-06-14,2332100,168706590,74.7,75.3,70.1,71.2,0.0,1712,0.183,0.18,0.243
4148,2017-05-18,2017-06-08,4594220,321522340,69.9,73.2,65.0,71.3,0.0,2621,0.426,0.11,0.202
2937,2017-05-18,2017-06-08,1194000,35062850,30.2,30.6,28.4,28.4,3.25,701,0.321,0.326,0.38
6497,2017-05-10,2017-06-01,5042015,276330129,58.0,59.8,50.2,52.2,-16.7,2487,-0.184,0.0,0.077
2897,2017-04-14,2017-05-05,28832693,270492745,9.05,9.89,9.05,9.28,0.0,6468,0.552,0.341,0.363
8489,2017-04-07,2017-04-27,1203640,178944080,155.0,155.0,135.0,147.0,62.0,907,1.075,0.978,1.024
6438,2017-04-05,2017-04-25,2436802,128749406,52.0,54.9,51.2,52.5,10.5,1486,0.5,0.441,0.462
6492,2017-03-31,2017-04-24,2615432,411494572,160.5,165.0,146.0,146.0,-16.0,1266,0.081,0.225,0.257
2065,2017-03-30,2017-04-21,2010300,76469490,37.9,39.0,36.9,37.6,5.4,1250,0.343,0.572,0.629
6472,2017-03-28,2017-04-19,1232538,70841710,57.6,63.0,52.3,54.3,21.8,855,1.172,1.435,1.494
6577,2017-03-01,2017-03-21,4651164,465049785,105.0,110.0,85.0,85.7,32.9,3247,0.834,0.472,0.523
6533,2017-02-20,2017-03-14,5889591,873611618,135.0,199.0,131.0,189.5,0.0,4332,2.493,0.911,0.966
6560,2017-01-04,2017-01-24,2497935,152717015,52.0,70.1,51.7,69.6,38.8,1469,1.711,0.381,0.4
8480,2016-12-27,2017-01-17,1285200,144885100,114.5,117.0,108.0,108.5,0.0,933,0.318,0.339,0.363
4538,2018-12-24,2019-01-15,3009712,57366077,19.4,20.15,18.1,20.1,6.1,1574,0.579,0.447,0.52
4967,2018-12-22,2019-01-14,4108060,120297210,30.3,30.8,28.2,28.5,0.0,2270,0.477,0.363,0.411
6590,2018-12-05,2018-12-24,1195534,40570485,38.0,38.0,30.0,32.25,13.1,887,0.955,0.285,0.362
1341,2018-12-05,2018-12-24,1152000,71829200,58.1,68.0,58.1,64.6,0.0,998,1.602,0.422,0.48
6670,2018-11-28,2018-12-18,8059150,1363541025,170.0,176.5,162.5,163.0,0.0,5032,0.63,0.31,0.351
2070,2018-11-27,2018-12-17,3609759,182059670,46.0,57.0,46.0,57.0,25.15,2255,1.048,0.1,0.145
6668,2018-11-22,2018-12-12,5225762,478055734,92.0,94.2,87.5,89.5,0.0,3601,0.79,0.1,0.161
6671,2018-11-21,2018-12-11,1698000,88480800,53.0,53.0,51.1,51.5,0.0,1494,0.594,0.223,0.284
6558,2018-11-15,2018-12-05,9299751,317470482,30.0,38.0,30.0,37.5,0.0,4449,1.292,0.358,0.43
4766,2018-11-08,2018-11-28,4114951,375998516,88.0,94.5,87.0,94.0,0.0,3263,0.408,0.138,0.191
6674,2018-11-08,2018-11-28,4781592,161195530,31.95,39.95,31.3,39.0,0.0,2282,0.377,0.032,0.089
6655,2018-11-08,2018-11-28,1195500,71531350,60.5,61.5,57.2,60.1,0.0,784,0.156,0.058,0.177
3178,2018-10-30,2018-11-19,1082125,31912675,28.8,29.8,28.8,29.25,-0.4,554,0.147,0.05,0.162
6667,2018-10-24,2018-11-13,710100,26915564,37.5,39.0,37.0,39.0,2.0,534,0.15,0.032,0.092
4767,2018-10-08,2018-10-29,709600,13830539,19.05,20.5,18.95,18.95,0.95,484,0.168,0.07,0.139
6654,2018-10-02,2018-10-23,1319900,97565500,74.5,74.6,73.0,74.1,0.5,805,0.136,0.077,0.128
6640,2018-10-02,2018-10-23,850050,33016050,37.5,41.0,37.5,39.6,2.1,518,0.267,0.235,0.266
5876,2018-09-28,2018-10-19,18388029,659237999,35.0,36.9,34.5,36.9,0.0,7498,0.475,0.324,0.371
4961,2018-09-26,2018-10-17,5079890,187474962,36.9,38.2,36.2,36.4,0.0,3291,0.247,0.168,0.291
4568,2018-09-12,2018-10-03,657350,59729200,90.9,93.9,88.8,90.4,15.4,539,0.386,0.322,0.362
6641,2018-09-03,2018-09-21,1549686,131071955,85.5,86.5,82.6,83.0,0.0,1121,0.328,0.25,0.29
6578,2018-08-29,2018-09-18,2133545,53450830,24.0,25.7,24.0,24.85,4.85,1057,0.367,0.294,0.324
6664,2018-08-21,2018-09-12,1359756,85272991,65.0,65.2,59.0,61.2,6.2,1105,0.324,0.365,0.387
8367,2018-08-21,2018-09-12,2614025,55151550,21.4,21.8,20.35,21.65,0.0,1591,0.251,0.191,0.226
4540,2018-07-26,2018-08-15,3754294,439363398,120.0,122.0,111.5,114.5,0.0,2808,0.449,0.442,0.471
8482,2018-07-26,2018-08-15,4736200,548205900,116.0,117.5,114.5,114.5,0.0,2109,0.145,0.049,0.163
1240,2018-07-19,2018-08-08,1102200,63541060,59.0,59.9,55.1,55.2,8.0,773,0.415,0.349,0.377
6612,2018-06-28,2018-07-18,3174410,248270443,69.5,88.0,68.9,85.0,38.55,1969,1.233,0.474,0.497
3530,2018-06-26,2018-07-16,3292002,473486292,137.0,151.5,137.0,146.0,0.0,2349,0.648,0.454,0.533
4744,2018-06-22,2018-07-12,1936010,81246098,41.9,43.3,40.75,40.8,12.8,1261,0.734,0.492,0.544
4563,2018-06-22,2018-07-12,1746910,138301879,79.8,81.1,77.0,77.0,18.1,1134,0.503,0.464,0.489
8028,2018-06-20,2018-07-10,10236883,402334903,38.0,41.7,36.85,41.7,0.0,4379,1.034,0.589,0.637
5223,2018-06-11,2018-07-02,1995000,81139700,42.0,42.95,36.05,38.0,11.0,1428,0.52,0.429,0.606
6576,2018-06-08,2018-06-29,2682256,158698248,60.0,60.3,58.0,58.2,13.0,1975,0.455,0.33,0.373
4989,2018-06-07,2018-06-28,9135161,291849161,31.0,34.1,30.4,33.3,0.0,4852,0.558,0.3,0.331
4561,2018-05-22,2018-06-11,5174125,255701987,44.0,55.0,41.3,54.3,27.8,2679,1.357,0.459,0.497
6561,2018-05-16,2018-06-05,3203031,672620448,214.0,216.0,204.0,204.0,34.0,2464,0.5,0.407,0.452
3147,2018-05-09,2018-05-29,1305917,27947885,21.5,22.0,21.05,21.4,2.4,820,0.34,0.315,0.341
6288,2018-04-18,2018-05-09,7403960,165592366,22.8,22.85,21.5,22.1,0.0,3596,0.289,0.23,0.264
5220,2018-04-03,2018-04-26,2092101,62474480,30.55,30.7,28.8,28.8,3.5,1333,0.309,0.305,0.336
1587,2018-03-23,2018-04-16,3680369,86460520,23.75,24.2,22.6,23.9,0.0,2198,0.542,0.29,0.32
6416,2018-03-23,2018-04-16,4414519,682015742,152.0,159.5,150.5,158.0,0.0,2965,0.799,0.478,0.52
2745,2018-03-23,2018-04-16,1171200,38544650,33.4,33.5,32.55,32.8,6.8,712,0.489,0.398,0.428
6547,2018-03-26,2018-04-17,6318250,262049650,40.4,43.5,40.1,41.0,13.0,4376,0.64,0.184,0.224
5864,2018-03-14,2018-04-02,2176100,21449740,9.61,10.0,9.61,9.89,0.83,1307,0.419,0.327,0.329
8440,2018-03-08,2018-03-28,3822927,93861483,23.5,26.2,23.5,25.6,9.9,1847,0.893,0.642,0.683
6461,2018-03-08,2018-03-28,8026110,312498681,37.2,41.7,37.2,41.05,6.25,4429,0.368,0.133,0.181
8497,2018-03-05,2018-03-23,3010502,153963602,50.0,52.6,48.4,51.0,0.0,2155,0.275,0.19,0.226
2630,2018-01-29,2018-02-22,3521752,119654741,33.3,35.5,33.0,33.3,0.0,2090,0.665,0.52,0.571
6625,2018-01-18,2018-02-07,2197300,187590700,91.3,91.4,78.0,86.9,0.0,1278,0.538,0.221,0.289
4566,2018-01-16,2018-02-05,2380030,184074503,76.0,79.2,74.2,79.2,0.0,1842,0.425,0.188,0.22
6581,2018-01-10,2018-01-30,5586680,629388700,110.0,117.0,107.5,114.0,0.0,3250,0.538,0.343,0.397
1760,2018-01-03,2018-01-23,3698304,224691884,60.5,62.3,58.6,60.5,0.0,2716,0.338,0.106,0.251
5299,2018-01-03,2018-01-23,4486500,341224300,70.0,81.5,70.0,81.0,31.0,2629,0.895,0.513,0.55
1796,2018-01-02,2018-01-22,1170050,60867585,54.0,54.0,49.0,51.4,16.6,807,0.772,0.5,0.578
6615,2018-01-02,2018-01-22,1244000,113488500,90.0,94.9,88.8,90.1,18.1,968,0.502,0.37,0.423
4580,2019-12-16,2020-01-06,2813576,331052652,115.0,128.0,112.5,128.0,50.0,1955,0.871,0.371,0.396
6697,2019-12-06,2019-12-26,1567800,78894210,50.6,51.8,47.8,47.95,5.35,1124,0.463,0.297,0.329
6527,2019-12-05,2019-12-25,2137114,176792361,81.5,87.1,81.1,86.2,27.4,1568,0.642,0.365,0.389
6706,2019-11-29,2019-12-19,3030170,245047246,80.0,83.5,79.0,80.5,0.0,1975,0.61,0.398,0.422
6715,2019-11-22,2019-12-12,1903223,178405204,92.0,96.0,92.0,93.2,0.0,1441,0.553,0.366,0.401
6592,2019-11-19,2019-12-09,46515299,4163181400,82.0,100.0,80.0,98.0,0.0,29039,1.145,0.332,0.529
4439,2019-11-15,2019-12-05,1495000,299460500,200.0,205.5,195.5,203.0,0.0,1040,0.465,0.243,0.328
6698,2019-11-05,2019-11-25,2317984,169397732,72.0,75.1,70.2,73.0,0.0,1627,0.256,0.185,0.233
6690,2019-10-08,2019-10-30,1585635,198924050,130.0,133.5,115.0,130.0,75.0,1298,1.6,0.9,1.088
6491,2019-09-17,2019-10-07,2450008,439368440,179.0,181.5,177.5,178.5,0.0,2098,0.386,0.295,0.349
2752,2019-09-04,2019-09-25,773010,94220750,122.5,124.0,120.0,120.0,15.0,641,0.429,0.369,0.401
6642,2019-09-02,2019-09-23,1472100,57812150,38.7,40.25,38.6,40.25,10.25,920,0.543,0.315,0.348
4571,2019-08-27,2019-09-17,2753000,243281800,89.0,92.3,85.5,90.0,0.0,1655,0.44,0.253,0.307
4931,2019-08-27,2019-09-17,2844112,97394893,33.6,35.8,33.3,33.45,15.45,1793,1.1,1.09,1.168
6680,2019-08-26,2019-09-16,386000,28076100,72.5,73.7,71.8,73.0,13.0,314,0.46,0.374,0.411
4572,2019-08-21,2019-09-10,1677208,270496380,159.5,164.0,159.0,160.5,0.0,1281,0.479,0.36,0.382
4576,2019-08-15,2019-09-04,5629005,482042080,83.0,90.8,80.0,90.0,0.0,3589,0.8,0.366,0.535
6589,2019-06-10,2019-06-28,6358781,195059645,30.8,31.5,30.0,31.25,0.4,2941,0.159,0.076,0.144
6629,2019-05-17,2019-06-06,967000,38327350,41.9,42.0,38.0,38.2,2.6,618,0.363,0.349,0.413
6649,2019-05-16,2019-06-05,1373000,67663100,49.0,50.6,48.15,48.3,6.3,1085,0.437,0.315,0.354
6624,2019-05-08,2019-05-28,991000,63102800,63.0,65.5,61.8,63.6,13.6,624,0.641,0.536,0.567
5283,2019-05-06,2019-05-24,2013653,200661730,100.0,103.0,95.3,102.0,0.0,1706,0.233,0.197,0.243
6679,2019-04-18,2019-05-09,1205500,104906800,90.9,90.9,85.4,86.0,16.0,854,0.474,0.469,0.486
6516,2019-04-15,2019-05-06,895000,161310000,180.0,189.0,175.0,180.5,42.5,823,0.7,0.775,0.826
6683,2019-04-01,2019-04-23,1164315,148346450,128.5,130.5,124.0,126.0,51.0,846,0.932,0.823,0.848
6672,2019-03-26,2019-04-17,5337410,503805396,93.7,96.6,92.5,95.0,0.0,2903,0.803,0.512,0.535
6669,2019-03-07,2019-03-27,7122919,2673135220,370.0,387.0,362.0,378.0,0.0,5431,0.753,0.555,0.62
6662,2019-03-06,2019-03-26,806200,42788300,54.0,54.4,51.6,52.0,15.2,634,0.653,0.623,0.66
4760,2019-02-27,2019-03-21,1443070,50387708,34.65,35.9,34.0,35.15,12.55,956,0.882,0.775,0.82
4564,2019-02-13,2019-03-07,9908488,533105252,53.0,55.1,52.3,54.3,0.0,4216,1.455,0.584,0.61
6418,2019-01-18,2019-02-18,1201100,32231390,27.8,28.9,26.05,26.4,4.35,874,0.389,0.497,0.538
6643,2019-01-03,2019-01-23,1477777,422320946,290.0,295.0,277.0,281.5,83.5,1227,0.791,0.497,0.518
6425,2018-12-27,2019-01-18,3163098,141614622,45.85,45.95,43.0,43.0,13.0,1896,0.634,0.37,0.399
8104,2018-12-26,2019-01-17,5312511,430366391,80.0,83.4,79.0,81.4,0.0,3287,0.628,0.42,0.447
6712,2020-12-18,2021-01-08,2254888,373315640,165.5,176.0,160.5,172.5,34.5,1953,0.5,0.188,0.292
6751,2020-12-07,2020-12-25,506171,45278570,91.5,91.9,88.0,88.3,28.3,382,0.766,0.72,0.822
6728,2020-12-07,2020-12-25,1198117,62647652,50.0,56.4,46.25,54.9,11.9,791,0.481,0.383,0.449
6756,2020-12-04,2020-12-24,4645479,1215624576,256.0,275.0,242.5,269.0,0.0,3627,0.793,0.34,0.601
6762,2020-11-30,2020-12-18,461445,124013630,270.0,272.0,267.0,267.5,-0.5,376,0.171,0.132,0.173
2755,2020-11-26,2020-12-16,581249,39837886,71.0,71.0,66.3,68.8,8.8,475,0.433,0.481,0.538
6743,2020-11-24,2020-12-14,4303482,529925432,128.0,128.0,117.5,120.0,0.0,2852,0.5,0.375,0.43
3138,2020-11-23,2020-12-11,2003575,164478155,81.0,87.0,80.5,87.0,0.0,1608,1.043,0.611,0.68
6752,2020-11-20,2020-12-10,547381,34100766,63.0,63.3,60.3,61.1,5.1,475,0.222,0.17,0.333
6727,2020-11-11,2020-12-01,623000,39877900,66.2,66.2,63.1,64.3,11.5,537,0.34,0.3,0.325
1342,2020-11-04,2020-11-24,1930110,122253650,63.0,65.6,61.0,65.6,0.0,1383,0.312,0.272,0.314
4945,2020-11-02,2020-11-20,1253305,65394635,52.8,54.4,50.1,51.3,13.3,840,0.472,0.431,0.483
7556,2020-10-12,2020-10-30,650830,71109680,115.0,115.0,105.0,106.0,18.0,555,0.325,0.55,0.579
6703,2020-09-25,2020-10-20,1066150,129946650,125.0,127.0,118.0,121.0,24.1,832,0.511,0.536,0.565
2247,2020-09-17,2020-10-12,2978312,868076372,300.0,301.5,283.0,285.5,0.0,2605,0.697,0.611,0.7
8089,2020-09-03,2020-09-23,4296324,280089034,64.5,68.5,62.8,63.0,17.75,2973,0.615,0.382,0.41
2754,2020-08-28,2020-09-17,5672327,629966016,112.0,120.5,98.0,108.0,53.0,4321,1.396,0.584,0.727
2241,2020-08-06,2020-08-26,4415024,273253960,59.2,67.0,58.6,64.8,0.0,2997,0.542,0.285,0.322
6754,2020-08-05,2020-08-25,1262507,72637345,60.9,60.9,54.0,56.5,0.0,965,0.595,0.586,0.635
6588,2020-06-09,2020-07-01,2803378,429991638,155.0,162.5,145.0,151.0,83.0,2281,1.62,0.763,0.82
6598,2020-05-20,2020-06-09,5639193,598980981,105.0,116.0,95.0,115.5,0.0,3977,1.888,1.013,1.255
6732,2020-05-19,2020-06-08,2076828,1580013120,730.0,799.0,730.0,795.0,297.0,1858,0.916,0.513,0.538
5546,2020-04-29,2020-05-20,3106110,188315000,60.5,62.3,58.7,59.6,0.0,1982,0.324,0.235,0.321
8284,2020-04-27,2020-05-18,3071760,208147279,66.0,74.9,66.0,70.9,25.9,2076,0.891,0.57,0.602
3543,2020-03-24,2020-04-15,4011100,74839145,17.8,19.5,17.8,18.9,0.0,1930,0.575,0.208,0.272
6716,2020-03-09,2020-03-27,830000,40736150,49.5,50.1,48.1,48.25,6.25,543,0.482,0.434,0.474
2743,2020-02-17,2020-03-09,1338000,17766950,13.05,14.5,12.7,14.05,1.55,804,0.405,0.41,0.48
4581,2020-02-17,2020-03-09,1050000,46815000,42.15,46.0,42.15,45.3,0.0,755,0.411,0.28,0.391
3597,2020-02-17,2020-03-09,1297000,21661850,17.0,17.25,16.1,16.5,1.0,735,0.289,0.274,0.327
2756,2021-12-24,2022-01-14,524434,66359468,139.0,139.0,118.5,121.5,42.7,435,0.773,0.687,0.741
6719,2021-12-23,2022-01-13,2325572,1853338165,800.0,808.0,781.0,800.0,0.0,2970,0.576,0.566,0.583
3592,2021-12-17,2022-01-07,4114322,2154042495,531.0,542.0,503.0,526.0,0.0,4082,0.913,0.804,0.838
6691,2021-12-13,2022-01-03,2123952,501344750,232.0,246.0,229.5,236.0,0.0,1808,0.521,0.492,0.524
4770,2021-12-02,2021-12-22,3796229,976157140,265.0,265.0,250.5,252.0,0.0,2950,0.791,0.67,0.702
6792,2021-11-18,2021-12-08,2896574,546255375,188.0,200.0,179.5,200.0,0.0,2370,1.265,0.801,0.834
6770,2021-11-16,2021-12-06,79437560,6022191832,78.0,78.9,72.1,75.9,0.0,47955,0.765,0.439,0.477
2945,2021-11-10,2021-11-30,3321604,260173119,77.9,87.6,73.0,84.0,0.0,2584,0.497,0.23,0.278
6806,2021-10-26,2021-11-15,6677300,790915504,116.0,125.0,115.5,117.0,0.0,5038,0.3,0.112,0.16
6761,2021-10-19,2021-11-08,2215978,353753457,154.0,172.0,137.0,165.0,97.0,1757,1.669,0.761,0.796
5222,2021-10-04,2021-10-25,7546103,1295986905,160.0,185.0,157.0,181.0,0.0,5467,1.235,0.454,0.512
4440,2021-10-04,2021-10-25,2485329,109397644,44.45,44.85,42.8,44.0,0.0,1636,0.343,0.238,0.302
2947,2021-09-14,2021-10-06,652585,72395098,109.5,117.0,104.0,112.5,32.5,542,0.687,0.545,0.611
6790,2021-09-07,2021-09-29,4395359,246114470,56.0,57.1,55.2,55.8,0.0,3278,0.266,0.205,0.257
6788,2021-09-07,2021-09-29,1452375,289226833,198.5,209.0,193.0,193.5,68.5,1296,0.703,0.584,0.619
2753,2021-08-20,2021-09-09,1631483,270903750,162.5,172.0,159.0,167.0,0.0,1932,0.282,0.245,0.271
6684,2021-07-22,2021-08-11,2693734,494958417,206.0,206.0,171.5,174.0,86.0,2134,1.274,1.053,1.089
5236,2021-07-09,2021-07-29,4222331,925600279,210.5,230.0,207.0,224.5,64.5,3406,0.754,0.548,0.574
2250,2021-05-11,2021-05-31,3126198,494836203,152.0,171.0,151.0,159.0,0.0,2355,1.406,0.483,0.59
6741,2021-05-05,2021-05-25,3470068,558600125,145.0,181.0,145.0,167.0,101.0,3136,1.834,0.595,0.812
3357,2021-04-07,2021-04-27,5451810,960232350,172.0,182.5,168.0,176.5,57.5,4833,0.902,0.73,0.804
6768,2021-03-31,2021-04-22,8296624,720672812,92.1,95.0,79.2,79.9,0.0,5274,0.875,0.643,0.72
2211,2021-03-19,2021-04-12,15340609,1095361865,72.0,75.5,65.0,72.5,0.0,8961,1.157,0.488,0.542
6776,2021-03-11,2021-03-31,7531870,452257501,49.5,70.0,49.2,69.7,0.0,5600,2.123,0.483,0.53
6781,2021-03-02,2021-03-22,6036692,2496904297,378.0,477.0,368.0,469.0,0.0,4703,2.127,0.521,0.637
6651,2021-01-12,2021-02-01,2170841,155408887,70.0,73.7,69.8,73.1,22.5,1540,0.589,0.332,0.412
6733,2021-01-08,2021-01-28,2846601,89136463,30.85,32.5,29.95,31.2,3.2,2049,0.292,0.213,0.279
6661,2021-01-07,2021-01-27,1184009,36252279,30.5,31.6,29.55,31.15,5.15,793,0.557,0.4,0.444
6767,2021-01-05,2021-01-25,1212023,44581323,37.5,37.9,36.0,36.9,6.9,810,0.452,0.298,0.343
6515,2020-12-30,2021-01-20,1918645,915905364,470.0,506.0,465.0,486.0,0.0,1941,0.69,0.241,0.281
6747,2020-12-29,2021-01-19,934110,125225150,129.0,140.0,129.0,139.5,39.5,743,0.534,0.285,0.34
6865,2022-12-21,2023-01-11,448722,38055943,84.6,88.7,81.3,82.5,24.5,416,0.707,0.643,0.672
6708,2022-12-09,2022-12-29,1463205,90367326,62.5,65.0,59.3,61.9,33.9,1171,1.432,1.24,1.334
8227,2022-11-30,2022-12-20,4862969,511248687,100.0,115.0,99.7,103.0,60.3,3414,1.848,1.09,1.143
6517,2022-11-25,2022-12-15,5619503,316842214,50.6,64.5,50.6,64.0,31.2,3031,1.185,0.416,0.443
3447,2022-11-25,2022-12-15,6641945,275034042,39.4,48.0,38.35,48.0,0.0,3212,1.16,0.451,0.483
6874,2022-11-24,2022-12-14,1386332,72192788,52.3,53.7,50.6,51.7,6.8,1019,0.292,0.075,0.122
6859,2022-11-08,2022-11-28,1212699,146973984,116.0,133.0,110.0,132.0,30.0,1036,0.553,0.118,0.216
6782,2022-11-08,2022-11-28,2656663,671264804,245.5,268.0,235.0,260.0,0.0,2324,0.873,0.268,0.319
6843,2022-11-01,2022-11-21,1643379,70364599,40.5,45.45,40.5,45.3,10.3,1225,0.501,0.156,0.21
